policy,cycle,latency_ms,tier
fixed_t1,462,6.984574,1
fixed_t1,463,12.182362,1
fixed_t1,464,4.034426,1
fixed_t1,465,17.936493,1
fixed_t1,466,5.872165,1
fixed_t1,467,10.095251,1
fixed_t1,468,12.508048,1
fixed_t1,469,5.805553,1
fixed_t1,470,9.315788,1
fixed_t1,471,7.157279,1
fixed_t1,472,7.416747,1
fixed_t1,473,5.070236,1
fixed_t1,474,5.066074,1
fixed_t1,475,7.962163,1
fixed_t1,476,11.798551,1
fixed_t1,477,4.547133,1
fixed_t1,478,5.125851,1
fixed_t1,479,12.685579,1
fixed_t1,480,14.339310,1
fixed_t1,481,7.023807,1
fixed_t1,482,20.286374,1
fixed_t1,483,6.153642,1
fixed_t1,484,7.427849,1
fixed_t1,485,20.075332,1
fixed_t1,486,8.014980,1
fixed_t1,487,4.820764,1
fixed_t1,488,11.989703,1
fixed_t1,489,6.068433,1
fixed_t1,490,7.803821,1
fixed_t1,491,8.827667,1
fixed_t1,492,11.283608,1
fixed_t1,493,21.156650,1
fixed_t1,494,4.962283,1
fixed_t1,495,6.262059,1
fixed_t1,496,7.883834,1
fixed_t1,497,8.042271,1
fixed_t1,498,13.927112,1
fixed_t1,499,14.537393,1
fixed_t1,500,5.898161,1
fixed_t1,501,8.016808,1
fixed_t1,502,14.610406,1
fixed_t1,503,7.290903,1
fixed_t1,504,7.440885,1
fixed_t1,505,8.639345,1
fixed_t1,506,7.199804,1
fixed_t1,507,11.605598,1
fixed_t1,508,8.689959,1
fixed_t1,509,6.862148,1
fixed_t1,510,8.195509,1
fixed_t1,511,12.356305,1
fixed_t1,512,9.351274,1
fixed_t1,513,12.449226,1
fixed_t1,514,11.732461,1
fixed_t1,515,8.388139,1
fixed_t1,516,4.831850,1
fixed_t1,517,5.954290,1
fixed_t1,518,6.759872,1
fixed_t1,519,7.546516,1
fixed_t1,520,13.043657,1
fixed_t1,521,7.637433,1
fixed_t1,522,8.030208,1
fixed_t1,523,10.669737,1
fixed_t1,524,10.484738,1
fixed_t1,525,5.750957,1
fixed_t1,526,7.067208,1
fixed_t1,527,5.566162,1
fixed_t1,528,4.407302,1
fixed_t1,529,16.598733,1
fixed_t1,530,9.087521,1
fixed_t1,531,6.599589,1
fixed_t1,532,6.127959,1
fixed_t1,533,5.947703,1
fixed_t1,534,8.458701,1
fixed_t1,535,12.673191,1
fixed_t1,536,7.668552,1
fixed_t1,537,8.803086,1
fixed_t1,538,10.742506,1
fixed_t1,539,9.126375,1
fixed_t1,540,8.868996,1
fixed_t1,541,8.911103,1
fixed_t1,542,8.616748,1
fixed_t1,543,5.430653,1
fixed_t1,544,5.403927,1
fixed_t1,545,9.281465,1
fixed_t1,546,4.460373,1
fixed_t1,547,10.924795,1
fixed_t1,548,15.556804,1
fixed_t1,549,10.201297,1
fixed_t1,550,6.048617,1
fixed_t1,551,6.418414,1
fixed_t1,552,5.672143,1
fixed_t1,553,13.083941,1
fixed_t1,554,6.209004,1
fixed_t1,555,9.138885,1
fixed_t1,556,3.950191,1
fixed_t1,557,7.598913,1
fixed_t1,558,6.903404,1
fixed_t1,559,6.396286,1
fixed_t1,560,15.290031,1
fixed_t1,561,13.711112,1
fixed_t1,562,5.583898,1
fixed_t1,563,3.924457,1
fixed_t1,564,13.505640,1
fixed_t1,565,4.485560,1
fixed_t1,566,18.920671,1
fixed_t1,567,7.387283,1
fixed_t1,568,13.515736,1
fixed_t1,569,8.777178,1
fixed_t1,570,10.966552,1
fixed_t1,571,8.239429,1
fixed_t1,572,10.672776,1
fixed_t1,573,9.328559,1
fixed_t1,574,6.908280,1
fixed_t1,575,7.653459,1
fixed_t1,576,4.946463,1
fixed_t1,577,11.653557,1
fixed_t1,578,8.479240,1
fixed_t1,579,14.051820,1
fixed_t1,580,11.300468,1
fixed_t1,581,11.983614,1
fixed_t1,582,9.545212,1
fixed_t1,583,14.367867,1
fixed_t1,584,7.419646,1
fixed_t1,585,5.832659,1
fixed_t1,586,8.828089,1
fixed_t1,587,10.295293,1
fixed_t1,588,8.508514,1
fixed_t1,589,4.686476,1
fixed_t1,590,6.237909,1
fixed_t1,591,14.131988,1
fixed_t1,592,8.075277,1
fixed_t1,593,5.030192,1
fixed_t1,594,7.325932,1
fixed_t1,595,9.445336,1
fixed_t1,596,10.414660,1
fixed_t1,597,10.088381,1
fixed_t1,598,5.390823,1
fixed_t1,599,7.182139,1
fixed_t1,600,5.050171,1
fixed_t1,601,7.806005,1
fixed_t1,602,7.228816,1
fixed_t1,603,5.614995,1
fixed_t1,604,4.822226,1
fixed_t1,605,4.632032,1
fixed_t1,606,8.500196,1
fixed_t1,607,9.796077,1
fixed_t1,608,4.495703,1
fixed_t1,609,4.547923,1
fixed_t1,610,9.336449,1
fixed_t1,611,8.094322,1
fixed_t1,612,3.303535,1
fixed_t1,613,6.415169,1
fixed_t1,614,7.694835,1
fixed_t1,615,7.313018,1
fixed_t1,616,6.863734,1
fixed_t1,617,3.506909,1
fixed_t1,618,10.732969,1
fixed_t1,619,7.481187,1
fixed_t1,620,4.877254,1
fixed_t1,621,9.135706,1
fixed_t1,622,5.423898,1
fixed_t1,623,8.238437,1
fixed_t1,624,9.116426,1
fixed_t1,625,5.941314,1
fixed_t1,626,9.042794,1
fixed_t1,627,7.365057,1
fixed_t1,628,8.365802,1
fixed_t1,629,5.426370,1
fixed_t1,630,3.252420,1
fixed_t1,631,6.941272,1
fixed_t1,632,6.952200,1
fixed_t1,633,8.225333,1
fixed_t1,634,3.945206,1
fixed_t1,635,7.384239,1
fixed_t1,636,11.651482,1
fixed_t1,637,5.807968,1
fixed_t1,638,4.070806,1
fixed_t1,639,14.267560,1
fixed_t1,640,6.332299,1
fixed_t1,641,8.700682,1
fixed_t1,642,5.070895,1
fixed_t1,643,6.269389,1
fixed_t1,644,8.539057,1
fixed_t1,645,17.500016,1
fixed_t1,646,13.254538,1
fixed_t1,647,5.800627,1
fixed_t1,648,7.587951,1
fixed_t1,649,11.069791,1
fixed_t1,650,6.378749,1
fixed_t1,651,10.054026,1
fixed_t1,652,6.303109,1
fixed_t1,653,5.618954,1
fixed_t1,654,8.877942,1
fixed_t1,655,10.056170,1
fixed_t1,656,15.870824,1
fixed_t1,657,4.242117,1
fixed_t1,658,18.414075,1
fixed_t1,659,8.370295,1
fixed_t1,660,7.203176,1
fixed_t1,661,12.538107,1
fixed_t1,662,6.041956,1
fixed_t1,663,12.341840,1
fixed_t1,664,7.475242,1
fixed_t1,665,8.333223,1
fixed_t1,666,5.396592,1
fixed_t1,667,6.965809,1
fixed_t1,668,2.930011,1
fixed_t1,669,5.193490,1
fixed_t1,670,6.242807,1
fixed_t1,671,4.753423,1
fixed_t1,672,4.492988,1
fixed_t1,673,7.191939,1
fixed_t1,674,10.726405,1
fixed_t1,675,5.947499,1
fixed_t1,676,10.546206,1
fixed_t1,677,7.590821,1
fixed_t1,678,7.382471,1
fixed_t1,679,13.557305,1
fixed_t1,680,6.766093,1
fixed_t1,681,7.432331,1
fixed_t1,682,11.124943,1
fixed_t1,683,9.116399,1
fixed_t1,684,8.110905,1
fixed_t1,685,7.692913,1
fixed_t1,686,6.845245,1
fixed_t1,687,9.166705,1
fixed_t1,688,10.206482,1
fixed_t1,689,8.238472,1
fixed_t1,690,7.229727,1
fixed_t1,691,12.420075,1
fixed_t1,692,9.727772,1
fixed_t1,693,8.639470,1
fixed_t1,694,7.965848,1
fixed_t1,695,11.980726,1
fixed_t1,696,7.846115,1
fixed_t1,697,5.897715,1
fixed_t1,698,13.728491,1
fixed_t1,699,12.235295,1
fixed_t1,700,11.011484,1
fixed_t1,701,8.133049,1
fixed_t1,702,5.214831,1
fixed_t1,703,8.536147,1
fixed_t1,704,7.741783,1
fixed_t1,705,9.526942,1
fixed_t1,706,8.900138,1
fixed_t1,707,3.672356,1
fixed_t1,708,7.331370,1
fixed_t1,709,7.774752,1
fixed_t1,710,9.593303,1
fixed_t1,711,6.508395,1
fixed_t1,712,4.897388,1
fixed_t1,713,9.861078,1
fixed_t1,714,7.986799,1
fixed_t1,715,10.217730,1
fixed_t1,716,11.417964,1
fixed_t1,717,11.176917,1
fixed_t1,718,8.392841,1
fixed_t1,719,4.416760,1
fixed_t1,720,6.814306,1
fixed_t1,721,8.421155,1
fixed_t1,722,9.293192,1
fixed_t1,723,14.441965,1
fixed_t1,724,9.872020,1
fixed_t1,725,4.858637,1
fixed_t1,726,11.070506,1
fixed_t1,727,9.134517,1
fixed_t1,728,11.375957,1
fixed_t1,729,11.342778,1
fixed_t1,730,5.794657,1
fixed_t1,731,15.498194,1
fixed_t1,732,6.820055,1
fixed_t1,733,9.035000,1
fixed_t1,734,6.136415,1
fixed_t1,735,9.217579,1
fixed_t1,736,9.730768,1
fixed_t1,737,8.384748,1
fixed_t1,738,3.552246,1
fixed_t1,739,6.661092,1
fixed_t1,740,12.622564,1
fixed_t1,741,7.256852,1
fixed_t1,742,3.112414,1
fixed_t1,743,8.725062,1
fixed_t1,744,9.700592,1
fixed_t1,745,4.927772,1
fixed_t1,746,17.063989,1
fixed_t1,747,5.371558,1
fixed_t1,748,12.591484,1
fixed_t1,749,8.483607,1
fixed_t1,750,10.419866,1
fixed_t1,751,9.566818,1
fixed_t1,752,4.952078,1
fixed_t1,753,5.292430,1
fixed_t1,754,7.454004,1
fixed_t1,755,9.837640,1
fixed_t1,756,6.701290,1
fixed_t1,757,9.070674,1
fixed_t1,758,10.907172,1
fixed_t1,759,13.110381,1
