phase,latency_ms
nominal,6.000292022
nominal,6.000624970
nominal,6.000082940
nominal,6.000082940
nominal,6.005875068
nominal,6.000166992
nominal,6.017958047
nominal,6.000082940
nominal,6.000166992
nominal,6.000166992
nominal,6.000084104
nominal,6.000207970
nominal,6.000166060
nominal,6.000124849
nominal,6.003708811
nominal,6.000083173
nominal,6.000041962
nominal,6.000082940
nominal,6.000041030
nominal,6.000124849
nominal,6.007832941
nominal,6.000333000
nominal,6.000166992
nominal,6.000166992
nominal,6.000041030
nominal,6.000082940
nominal,6.000041030
nominal,6.000166992
nominal,6.000041962
nominal,6.000083871
nominal,6.000208901
nominal,6.000083871
nominal,6.007249933
nominal,6.000083871
nominal,6.000124849
nominal,6.000208203
nominal,6.000082940
nominal,6.000083871
nominal,6.000125082
nominal,6.000082940
nominal,6.000083173
nominal,6.035583094
nominal,6.000249879
nominal,6.000125082
nominal,6.000083173
nominal,6.000333931
nominal,6.000041030
nominal,6.000250112
nominal,6.000125082
nominal,6.000249879
nominal,6.000084104
nominal,6.000166992
nominal,6.000041962
nominal,6.000166060
nominal,6.000125082
nominal,6.000041962
nominal,6.000166992
nominal,6.000125082
nominal,6.000082940
nominal,6.000125082
nominal,6.000083173
nominal,6.000083871
nominal,6.000125082
nominal,6.000124849
nominal,6.000041962
nominal,6.000250112
nominal,6.000124849
nominal,6.000082940
nominal,6.000207970
nominal,6.000084104
nominal,6.000124849
nominal,6.000083173
nominal,6.000125082
nominal,6.000209134
nominal,6.010875106
nominal,6.000084104
nominal,6.000124849
nominal,6.000082940
nominal,6.000082940
nominal,6.000250112
nominal,6.000249879
nominal,6.000083871
nominal,6.000082940
nominal,6.000124849
nominal,6.000166992
nominal,6.000166992
nominal,6.000084104
nominal,6.000166992
nominal,6.000041962
nominal,6.000124849
nominal,6.000082940
nominal,6.052874960
nominal,6.000084104
nominal,6.000042195
nominal,8.343124995
nominal,16.955666943
nominal,8.587707998
nominal,6.538792048
nominal,6.014541024
nominal,6.037041778
nominal,6.003124872
nominal,6.000125082
nominal,6.000041962
nominal,6.000041030
nominal,6.000041030
nominal,6.000083871
nominal,6.000165828
nominal,6.000082940
nominal,6.000082940
nominal,6.000125082
nominal,6.003499962
nominal,6.000042195
nominal,6.000166992
nominal,6.000166992
nominal,6.000124849
nominal,6.000041962
nominal,6.000124849
nominal,6.000125082
nominal,6.000166060
nominal,6.000082940
nominal,6.000041962
nominal,6.000041962
nominal,6.000125082
nominal,6.000041030
nominal,6.000084104
nominal,6.000041030
nominal,6.000041962
nominal,6.000125082
nominal,6.000083871
nominal,6.000042195
nominal,6.000125082
nominal,6.000166992
nominal,6.000082940
nominal,6.000041030
nominal,6.000084104
nominal,6.000207970
nominal,6.000292022
nominal,6.000124849
nominal,6.000082940
nominal,6.000333931
nominal,6.000207970
nominal,6.000041030
nominal,6.000041030
nominal,6.000041030
nominal,6.000041030
nominal,6.000041030
nominal,6.000167225
nominal,6.000041962
nominal,6.000041030
nominal,6.000166060
nominal,6.000083173
nominal,6.000082940
nominal,6.000124849
nominal,6.000124849
nominal,6.000082940
nominal,6.000124849
nominal,6.000125082
nominal,6.000083871
nominal,6.000084104
nominal,6.000041962
nominal,6.000124849
nominal,6.000124849
nominal,6.000207970
nominal,6.000041030
nominal,6.000083173
nominal,6.000125082
nominal,6.000083173
nominal,6.000082940
nominal,6.000249879
nominal,6.000082940
nominal,6.000124849
nominal,6.000124849
nominal,6.000082940
nominal,6.004374940
stress,10.000082897
stress,10.000082897
stress,10.000084061
stress,10.000083828
stress,10.000041919
stress,10.000084061
stress,10.000082897
stress,10.000041919
stress,10.000083130
stress,10.000125039
stress,10.000083828
stress,10.000042152
stress,10.000166018
stress,10.000041919
stress,10.000082897
stress,10.000041919
stress,10.000041919
stress,10.000041919
stress,10.000166018
stress,10.000041919
stress,10.000041919
stress,10.000083130
stress,10.000084061
stress,10.000040988
stress,10.000084061
stress,10.000083130
stress,10.000040988
stress,10.000125039
stress,10.000041919
stress,10.000083130
stress,10.013750056
stress,10.000082897
stress,10.000082897
stress,10.000125039
stress,10.000040988
stress,10.000084061
stress,10.000084061
stress,10.000040988
stress,10.000082897
stress,13.083208119
stress,10.000082897
stress,10.000125039
stress,28.348708991
stress,19.403666025
stress,13.831584016
stress,10.005875025
stress,10.028874967
stress,10.000125039
stress,10.015750071
stress,10.000041919
stress,10.000125039
stress,10.000041919
stress,10.000124807
stress,10.000083130
stress,10.008292040
stress,10.000124807
stress,10.016582906
stress,15.248417156
stress,10.000125039
stress,10.000125039
stress,10.000040988
stress,10.000040988
stress,10.000084061
stress,10.000084061
stress,10.000082897
stress,10.000125039
stress,10.000040988
stress,10.000166018
stress,10.000082897
stress,10.000040988
stress,10.000125039
stress,10.017624823
stress,10.000083130
stress,10.000042152
stress,10.000041919
stress,10.000082897
stress,10.000083130
stress,10.000083130
stress,10.000082897
stress,10.000082897
stress,10.000082897
stress,10.000082897
stress,10.000125039
stress,10.000042152
stress,10.000125039
stress,10.000084061
stress,10.000082897
stress,10.000041919
stress,10.000084061
stress,10.000042152
stress,10.000082897
stress,10.000083130
stress,10.000124807
stress,10.000082897
stress,10.000082897
stress,10.000082897
stress,10.000082897
stress,10.000040988
stress,10.000082897
stress,10.000124807
stress,10.000082897
stress,10.000083130
stress,10.000082897
stress,10.000084061
stress,10.000041919
stress,10.000084061
stress,10.000042152
stress,10.000041919
stress,10.004916927
stress,10.000040988
stress,10.000124807
stress,10.000041919
stress,10.000083828
stress,10.000042152
stress,10.000291979
stress,10.000125039
stress,10.000040988
stress,10.000125039
stress,10.000083130
stress,10.000084061
stress,10.000042152
stress,10.000083130
stress,10.000082897
stress,10.000040988
stress,10.000040988
stress,10.000083130
stress,10.000041919
stress,10.000041919
stress,10.000166949
stress,10.000083828
stress,10.000083130
stress,10.000041919
stress,10.000084061
stress,10.000166949
stress,10.000042152
stress,10.004624957
stress,10.000082897
stress,10.000332957
stress,10.000083130
stress,10.000083130
stress,10.000084061
stress,10.000042152
stress,10.000082897
stress,10.000124807
stress,10.000291979
stress,10.000084061
stress,10.000084061
stress,31.460082857
stress,10.000083130
stress,10.850667022
stress,10.000125039
stress,10.000082897
stress,10.000040988
stress,10.000125039
stress,10.000082897
stress,10.000125039
stress,10.000207927
stress,10.000083130
stress,10.000084061
stress,10.000167182
stress,10.000125039
stress,10.000042152
stress,10.000124807
stress,10.000040988
stress,10.000083130
stress,10.000166018
stress,10.000083130
stress,10.000082897
stress,10.000041919
stress,10.000082897
stress,10.000749957
stress,10.000040988
stress,10.000084061
stress,10.000166949
stress,10.000125039
stress,10.000042152
stress,10.000083828
stress,10.000084061
stress,10.000042152
stress,10.000041919
stress,10.000041919
stress,10.000125039
stress,10.000083130
stress,10.000042152
stress,10.001166025
stress,10.000041919
stress,10.000042152
stress,10.000082897
stress,10.000082897
stress,10.000041919
stress,10.000083130
stress,10.000083130
stress,10.000040988
stress,10.000082897
stress,10.000040988
stress,10.000083130
stress,10.000082897
stress,10.000124807
stress,10.000041919
stress,10.000084061
stress,10.000084061
stress,10.000083130
stress,10.000083130
stress,10.000209091
stress,10.017374996
stress,10.000041919
stress,10.000082897
stress,10.000041919
stress,10.000084061
stress,10.000082897
stress,10.000041919
stress,10.000084061
stress,10.000166949
stress,10.000041919
stress,10.000041919
stress,10.000207927
stress,10.000125039
stress,10.000041919
stress,10.000040988
stress,10.000040988
stress,10.000083130
stress,10.000125039
stress,10.000082897
stress,10.000083130
stress,10.000084061
stress,10.000042152
stress,10.000084061
stress,10.000083130
stress,10.000041919
stress,10.000125039
stress,10.000082897
stress,10.000083130
stress,10.000084061
stress,10.000041919
stress,10.000207927
stress,10.000083130
stress,10.000874987
stress,10.000084061
stress,10.000041919
stress,10.000082897
stress,10.000083130
stress,10.000083130
stress,10.000125039
stress,10.018792003
stress,10.000125039
stress,10.000082897
stress,10.000041919
stress,10.000124807
stress,10.000040988
stress,10.000083130
stress,10.000125039
stress,10.000041919
stress,10.001457995
stress,10.003915988
stress,10.000040988
stress,10.005208198
stress,10.000082897
stress,10.000041919
stress,10.000084061
stress,10.000083130
stress,10.000166949
stress,10.000042152
stress,10.003165808
stress,10.000042152
stress,10.000125039
stress,10.000082897
stress,10.000083130
stress,10.000124807
stress,10.000083130
stress,10.000041919
stress,10.000041919
stress,10.000084061
stress,10.000083130
stress,10.000082897
stress,10.000082897
stress,10.000083130
stress,10.000083130
stress,10.000042152
stress,10.000082897
stress,10.000124807
stress,10.000125039
stress,10.000166949
stress,10.017875116
stress,10.000124807
stress,10.000082897
stress,10.000166018
stress,10.000084061
stress,10.000083828
stress,10.000082897
stress,10.000042152
stress,10.000041919
stress,10.000082897
stress,10.000084061
stress,10.000084061
stress,10.000083130
stress,10.000084061
stress,10.000084061
stress,10.000542039
stress,10.000040988
stress,10.000041919
stress,10.000082897
stress,10.000082897
stress,10.000083130
stress,10.000084061
stress,10.000084061
stress,10.000042152
stress,10.000124807
stress,10.000082897
stress,10.000166018
stress,10.000082897
stress,10.000042152
stress,10.000040988
stress,10.000040988
stress,10.000083130
stress,10.000083130
stress,10.000041919
stress,10.001208168
stress,10.000166949
stress,10.000041919
stress,10.000083828
stress,10.000082897
stress,10.000083130
stress,10.000084061
stress,10.000082897
stress,10.000083130
stress,10.000040988
stress,10.000124807
stress,10.000040988
stress,10.000041919
stress,10.000083130
stress,10.000041919
stress,10.000082897
stress,10.000084061
stress,10.000167182
stress,10.000207927
stress,10.000124807
stress,10.000082897
stress,10.000167182
stress,10.000166018
stress,10.000082897
stress,10.000083828
stress,10.000083130
stress,10.000084061
stress,10.000040988
stress,10.000166949
stress,10.000083828
stress,10.000082897
stress,10.000040988
stress,10.000083130
stress,10.000042152
stress,10.000042152
stress,10.000042152
stress,10.000041919
stress,10.000083130
stress,10.000207927
stress,10.000125039
stress,10.000041919
stress,10.000083130
stress,10.000124807
stress,10.002917144
stress,10.000042152
stress,10.000082897
stress,10.000040988
stress,10.000041220
stress,10.000084061
stress,10.000084061
stress,10.000040988
stress,10.000041919
stress,10.000082897
stress,10.000083130
stress,10.000082897
stress,10.000208160
stress,10.000083828
stress,10.000084061
stress,10.000084061
stress,10.000042152
stress,10.000042152
stress,10.000083828
stress,10.000084061
stress,10.000083130
stress,10.000041919
stress,10.000084061
stress,10.000083130
stress,10.000082897
stress,10.000083130
stress,10.000084061
stress,10.000083130
stress,10.000083130
stress,10.000124807
stress,10.000041919
stress,10.000082897
stress,10.000125039
stress,10.000084061
stress,10.000042152
stress,10.000125039
stress,10.000084061
stress,10.000208160
stress,10.000083130
stress,10.000084061
stress,10.000082897
stress,10.000041919
stress,10.000083130
stress,10.000082897
stress,10.000042152
stress,10.000082897
stress,10.000041919
stress,10.000041220
stress,10.000083130
stress,10.000082897
stress,10.000040988
stress,10.000083130
stress,10.000083130
stress,10.000166018
stress,10.000082897
stress,10.000082897
stress,10.000209091
stress,10.000083130
stress,10.000041919
stress,10.000041919
stress,10.000084061
stress,10.000082897
stress,10.000041919
stress,10.000083130
stress,10.000040988
stress,10.000083130
stress,10.000084061
stress,10.000124807
stress,10.000040988
stress,10.000041919
stress,10.000041919
stress,10.000083828
stress,10.000040988
stress,10.000084061
stress,10.000083130
stress,10.000083828
stress,10.000082897
stress,10.000083130
stress,10.000041919
stress,10.000041919
stress,10.000041919
stress,10.000040988
stress,10.000166949
stress,10.000083130
stress,10.000041919
stress,10.000166949
stress,10.000166949
stress,10.000125039
stress,10.000082897
stress,10.000082897
stress,10.000125039
stress,10.000041919
stress,10.002791882
stress,10.000125039
stress,10.000375099
stress,10.000042152
stress,10.000083130
stress,10.000082897
stress,10.000082897
stress,10.000084061
stress,10.000082897
stress,10.000083828
stress,10.000084061
stress,10.000166018
stress,10.000082897
stress,10.000040988
stress,10.000084061
stress,10.000083828
stress,10.000041919
stress,10.000041919
stress,10.000166949
stress,10.000082897
stress,10.000083130
stress,10.000083130
stress,10.000125039
stress,10.000125039
stress,10.015750071
stress,10.000082897
stress,10.000125039
stress,10.000083130
stress,10.000125039
stress,10.000125039
stress,10.000042152
stress,10.000041919
stress,10.000082897
stress,10.000082897
stress,10.000041919
stress,10.000083130
stress,10.000125039
stress,10.000084061
stress,10.000082897
stress,10.000040988
stress,10.000040988
stress,10.000082897
stress,10.000083828
stress,10.000084061
stress,10.000084061
stress,10.000084061
stress,10.000082897
stress,10.000083130
stress,10.000040988
stress,10.000083828
stress,10.000084061
stress,10.000042152
stress,10.000125039
stress,10.000083130
stress,10.000082897
stress,10.000042152
stress,10.000082897
stress,10.000082897
stress,10.000040988
stress,10.000040988
stress,10.000084061
stress,10.000084061
stress,10.000040988
stress,10.000041919
stress,10.000084061
stress,10.000084061
stress,10.000042152
stress,10.000040988
stress,10.000166949
stress,10.000084061
stress,10.000041919
stress,10.000083130
stress,10.000084061
stress,10.000083130
stress,10.000167182
stress,10.000040988
stress,10.000082897
stress,10.000041919
stress,10.000042152
stress,10.000082897
stress,10.000083130
stress,10.000040988
stress,10.000082897
stress,10.000249837
stress,10.000125039
stress,10.000041919
stress,10.000040988
stress,10.000084061
stress,10.000084061
stress,10.000082897
stress,10.000083130
stress,10.000082897
stress,10.000084061
